231,7,27,0,2
261,15,39,0,1
280,19,47,0,1
279,19,36,0,1
238,8,37,0,1
229,6,59,0,1
293,23,57,0,1
274,18,52,0,2
205,0,39,0,1
196,-2,47,0,1
180,-9,55,0,2
176,-12,50,0,1
244,9,58,0,1
216,3,37,0,1
286,21,52,0,1
294,23,59,0,1
206,0,67,0,2
187,-6,48,0,1
222,5,38,0,1
223,5,45,0,1
299,24,64,0,1
177,-11,61,0,2
179,-9,30,0,1
182,-8,37,0,2
220,4,25,0,4
285,21,45,0,2
210,2,23,0,1
254,13,28,0,2
242,9,25,0,2
295,23,60,0,2
291,22,54,0,3
273,18,47,0,1
256,13,58,0,2
173,-13,60,0,1
289,22,22,0,2
290,22,23,0,2
278,19,25,0,2
251,12,29,0,2
246,10,30,0,2
227,6,32,0,2
228,6,38,0,2
255,13,39,0,2
217,3,45,0,2
265,16,45,0,2
292,23,25,0,2
221,4,31,0,2
266,17,28,0,3
270,18,27,0,2
211,2,37,0,2
282,20,57,0,2
212,2,44,0,2
